id,constituency_id,event_id,created_at,updated_at
1670,1,1,2014-05-21 05:24:29 UTC,2014-05-21 05:24:29 UTC
1672,1,1,2014-05-21 08:23:31 UTC,2014-05-21 08:23:31 UTC
1674,1,1,2014-05-21 08:49:57 UTC,2014-05-21 08:49:57 UTC
1675,1,1,2014-05-21 08:51:19 UTC,2014-05-21 08:51:19 UTC
1676,5,1,2014-05-21 08:56:54 UTC,2014-05-21 08:56:54 UTC
1677,5,1,2014-05-21 08:59:53 UTC,2014-05-21 08:59:53 UTC
1678,5,1,2014-05-21 09:03:02 UTC,2014-05-21 09:05:02 UTC
1679,5,1,2014-05-21 09:11:38 UTC,2014-05-21 09:11:38 UTC
1680,1,1,2014-05-21 09:12:24 UTC,2014-05-21 09:12:24 UTC
1681,7,1,2014-05-21 09:12:25 UTC,2014-05-21 09:12:25 UTC
1682,3,1,2014-05-21 09:12:27 UTC,2014-05-21 09:12:27 UTC
1683,1,1,2014-05-21 09:12:36 UTC,2014-05-21 09:12:36 UTC
1684,3,1,2014-05-21 09:12:48 UTC,2014-05-21 09:12:48 UTC
1685,1,1,2014-05-21 09:12:50 UTC,2014-05-21 09:12:50 UTC
1686,1,1,2014-05-21 09:12:53 UTC,2014-05-21 09:12:53 UTC
1687,3,1,2014-05-21 09:13:18 UTC,2014-05-21 09:13:18 UTC
1688,5,1,2014-05-21 09:13:18 UTC,2014-05-21 09:13:18 UTC
1689,3,1,2014-05-21 09:13:22 UTC,2014-05-21 09:13:22 UTC
1690,5,1,2014-05-21 09:14:00 UTC,2014-05-21 09:14:00 UTC
1691,1,1,2014-05-21 09:14:02 UTC,2014-05-21 09:14:02 UTC
1692,1,1,2014-05-21 09:14:02 UTC,2014-05-21 09:14:02 UTC
1693,1,1,2014-05-21 09:15:07 UTC,2014-05-21 09:15:07 UTC
1694,5,1,2014-05-21 09:15:20 UTC,2014-05-21 09:15:20 UTC
1695,6,1,2014-05-21 09:15:34 UTC,2014-05-21 09:15:34 UTC
1696,1,1,2014-05-21 09:15:42 UTC,2014-05-21 09:15:42 UTC
1697,7,1,2014-05-21 09:16:11 UTC,2014-05-21 09:16:11 UTC
1698,1,1,2014-05-21 09:17:35 UTC,2014-05-21 09:17:35 UTC
1699,5,1,2014-05-21 09:17:51 UTC,2014-05-21 09:17:51 UTC
1700,1,1,2014-05-21 09:17:53 UTC,2014-05-21 09:17:53 UTC
1701,5,1,2014-05-21 09:19:23 UTC,2014-05-21 09:19:23 UTC
1702,5,1,2014-05-21 09:21:28 UTC,2014-05-21 09:21:28 UTC
1703,5,1,2014-05-21 09:22:45 UTC,2014-05-21 09:22:45 UTC
1704,6,1,2014-05-21 09:25:57 UTC,2014-05-21 09:25:57 UTC
1705,3,1,2014-05-21 09:26:18 UTC,2014-05-21 09:26:18 UTC
1706,5,1,2014-05-21 09:26:58 UTC,2014-05-21 09:26:58 UTC
1707,5,1,2014-05-21 09:27:02 UTC,2014-05-21 09:27:02 UTC
1708,3,1,2014-05-21 09:27:03 UTC,2014-05-21 09:27:03 UTC
1709,5,1,2014-05-21 09:28:31 UTC,2014-05-21 09:28:31 UTC
1710,6,1,2014-05-21 09:29:07 UTC,2014-05-21 09:29:07 UTC
1711,5,1,2014-05-21 09:31:08 UTC,2014-05-21 09:31:08 UTC
1712,2,1,2014-05-21 09:32:23 UTC,2014-05-21 09:32:23 UTC
1713,7,1,2014-05-21 09:35:37 UTC,2014-05-21 09:35:37 UTC
1714,1,1,2014-05-21 09:36:41 UTC,2014-05-21 09:36:41 UTC
1715,7,1,2014-05-21 09:36:53 UTC,2014-05-21 09:36:53 UTC
1716,1,1,2014-05-21 09:37:20 UTC,2014-05-21 09:37:20 UTC
1717,1,1,2014-05-21 09:40:43 UTC,2014-05-21 09:40:43 UTC
1718,1,1,2014-05-21 09:40:59 UTC,2014-05-21 09:40:59 UTC
1719,6,1,2014-05-21 09:42:08 UTC,2014-05-21 09:42:08 UTC
1720,3,1,2014-05-21 09:43:28 UTC,2014-05-21 09:43:28 UTC
1721,1,1,2014-05-21 09:46:28 UTC,2014-05-21 09:46:28 UTC
1722,1,1,2014-05-21 09:46:54 UTC,2014-05-21 09:46:54 UTC
1723,7,1,2014-05-21 09:51:18 UTC,2014-05-21 09:51:18 UTC
1724,5,1,2014-05-21 09:51:42 UTC,2014-05-21 09:51:42 UTC
1725,1,1,2014-05-21 09:55:07 UTC,2014-05-21 09:55:07 UTC
1726,7,1,2014-05-21 09:55:37 UTC,2014-05-21 09:55:37 UTC
1727,5,1,2014-05-21 09:57:15 UTC,2014-05-21 09:57:15 UTC
1728,1,1,2014-05-21 09:58:04 UTC,2014-05-21 09:58:04 UTC
1729,7,1,2014-05-21 10:02:20 UTC,2014-05-21 10:02:20 UTC
1730,5,1,2014-05-21 10:06:30 UTC,2014-05-21 10:06:30 UTC
1731,1,1,2014-05-21 10:09:01 UTC,2014-05-21 10:09:01 UTC
1733,5,1,2014-05-21 10:14:18 UTC,2014-05-21 10:14:18 UTC
1732,5,1,2014-05-21 10:09:51 UTC,2014-05-21 10:16:41 UTC
1734,2,1,2014-05-21 10:21:06 UTC,2014-05-21 10:21:06 UTC
